date,sm,quality,pass
2015-07-22,nan,0,PM
2015-07-23,nan,0,AM
2015-07-23,nan,0,PM
2015-07-24,0.2382072709421573,13,AM
2015-07-24,0.2682843748949131,13,PM
2015-07-25,nan,0,AM
2015-07-25,nan,0,PM
2015-07-26,nan,0,AM
2015-07-26,0.1790531863446468,13,PM
2015-07-27,0.19288066742919857,13,AM
2015-07-27,0.16953482124881503,13,PM
2015-07-28,nan,0,AM
2015-07-28,nan,0,PM
2015-07-29,0.13390481041532756,13,AM
2015-07-29,0.260363180392537,13,PM
2015-07-30,0.20552138711946533,13,AM
2015-07-30,0.28234862118842685,13,PM
2015-07-31,nan,0,AM
2015-07-31,nan,0,PM
2015-08-01,0.15856905797289014,13,AM
2015-08-01,0.16905163675046334,13,PM
2015-08-02,nan,0,AM
2015-08-02,nan,0,PM
2015-08-03,nan,0,AM
2015-08-03,0.14312097331416232,13,PM
2015-08-04,0.15168610369035104,13,AM
2015-08-04,0.18017350452851502,13,PM
2015-08-05,nan,0,AM
2015-08-05,nan,0,PM
2015-08-06,0.12464941695340868,13,AM
2015-08-06,0.1578792502835735,13,PM
2015-08-07,0.1186518287989736,13,AM
2015-08-07,nan,0,PM
2015-08-08,nan,0,AM
2015-08-08,nan,0,PM
2015-08-09,0.3928797604171138,13,AM
2015-08-09,0.2975817977981856,13,PM
2015-08-10,nan,0,AM
2015-08-10,nan,0,PM
2015-08-11,nan,0,AM
2015-08-11,0.2504656507931213,13,PM
2015-08-12,0.2203395237878307,13,AM
2015-08-12,0.2220219761866995,13,PM
2015-08-13,nan,0,AM
2015-08-13,nan,0,PM
2015-08-14,0.2869779713989705,13,AM
2015-08-14,0.2740132786004185,13,PM
2015-08-15,0.25508280873515454,13,AM
2015-08-15,nan,0,PM
2015-08-16,nan,0,AM
2015-08-16,nan,0,PM
2015-08-17,0.1879039427873204,13,AM
2015-08-17,0.19239637517085206,13,PM
2015-08-18,nan,0,AM
2015-08-18,nan,0,PM
2015-08-19,nan,0,AM
2015-08-19,0.14951646619408107,13,PM
2015-08-20,0.1522993248520981,13,AM
2015-08-20,0.16014805145115585,13,PM
2015-08-21,nan,0,AM
2015-08-21,nan,0,PM
2015-08-22,0.1204806559921879,13,AM
2015-08-22,0.1370442065743341,13,PM
2015-08-23,0.09532024251077184,13,AM
2015-08-23,nan,0,PM
2015-08-24,nan,0,AM
2015-08-24,nan,0,PM
2015-08-25,0.290944502649857,13,AM
2015-08-25,0.2668637241990992,13,PM
2015-08-26,nan,0,AM
2015-08-26,nan,0,PM
2015-08-27,nan,0,AM
2015-08-27,0.18291936676780401,13,PM
2015-08-28,0.1622710140076975,13,AM
2015-08-28,0.18099526835842114,13,PM
2015-08-29,nan,0,AM
2015-08-29,nan,0,PM
2015-08-30,0.14746855999013203,13,AM
2015-08-30,0.13441277881974809,13,PM
2015-08-31,0.10608777377356277,13,AM
2015-08-31,nan,0,PM
2015-09-01,nan,0,AM
2015-09-01,nan,0,PM
2015-09-02,0.27586517607658756,13,AM
2015-09-02,0.23031992717501698,13,PM
2015-09-03,nan,0,AM
2015-09-03,nan,0,PM
2015-09-04,nan,0,AM
2015-09-04,0.1822082131734159,13,PM
2015-09-05,0.1623857187312545,13,AM
2015-09-05,0.1548236660663483,13,PM
2015-09-06,nan,0,AM
2015-09-06,nan,0,PM
2015-09-07,0.16151494673955158,13,AM
2015-09-07,0.12546749321079884,13,PM
2015-09-08,0.12308028218178492,13,AM
2015-09-08,nan,0,PM
2015-09-09,nan,0,AM
2015-09-09,nan,0,PM
2015-09-10,0.10249644647356049,13,AM
2015-09-10,0.13568483801088527,13,PM
2015-09-11,nan,0,AM
2015-09-11,nan,0,PM
2015-09-12,nan,0,AM
2015-09-12,0.45930529406234816,13,PM
2015-09-13,0.3797647506582317,13,AM
2015-09-13,0.5210862146053624,13,PM
2015-09-14,nan,0,AM
2015-09-14,nan,0,PM
2015-09-15,0.3477618065988411,13,AM
2015-09-15,0.3273726481346026,13,PM
2015-09-16,0.2947618488116043,13,AM
2015-09-16,nan,0,PM
2015-09-17,nan,0,AM
2015-09-17,nan,0,PM
2015-09-18,0.39539252765264066,13,AM
2015-09-18,0.3493676509981257,13,PM
2015-09-19,nan,0,AM
2015-09-19,nan,0,PM
2015-09-20,nan,0,AM
2015-09-20,0.31366923951742437,13,PM
2015-09-21,0.3040795151788427,13,AM
2015-09-21,0.32212262711147405,13,PM
2015-09-22,nan,0,AM
2015-09-22,nan,0,PM
2015-09-23,0.3217548660446161,13,AM
2015-09-23,0.2933214101325418,13,PM
2015-09-24,0.2716699725941499,13,AM
2015-09-24,nan,0,PM
2015-09-25,nan,0,AM
2015-09-25,nan,0,PM
2015-09-26,0.2598792707488133,13,AM
2015-09-26,0.2443457649750755,13,PM
2015-09-27,nan,0,AM
2015-09-27,nan,0,PM
2015-09-28,nan,0,AM
2015-09-28,0.23626424586916345,13,PM
2015-09-29,0.2226814042316113,13,AM
2015-09-29,0.22497255542739256,13,PM
2015-09-30,nan,0,AM
2015-09-30,nan,0,PM
2015-10-01,0.18753018046749595,13,AM
2015-10-01,0.20769464378008048,13,PM
2015-10-02,0.1687459588034165,13,AM
2015-10-02,nan,0,PM
2015-10-03,nan,0,AM
2015-10-03,nan,0,PM
2015-10-04,0.2968559112122557,13,AM
2015-10-04,0.2906514766934069,13,PM
2015-10-05,nan,0,AM
2015-10-05,nan,0,PM
2015-10-06,nan,0,AM
2015-10-06,0.3303915746113943,13,PM
2015-10-07,0.2935884876179842,13,AM
2015-10-07,0.291517185573646,13,PM
2015-10-08,nan,0,AM
2015-10-08,nan,0,PM
2015-10-09,0.2784185850493523,13,AM
2015-10-09,0.2813599736715871,13,PM
2015-10-10,0.24789927907342274,13,AM
2015-10-10,nan,0,PM
2015-10-11,nan,0,AM
2015-10-11,nan,0,PM
2015-10-12,0.20061365221056382,13,AM
2015-10-12,0.24049169289195216,13,PM
2015-10-13,nan,0,AM
2015-10-13,nan,0,PM
2015-10-14,nan,0,AM
2015-10-14,0.20117854738475624,13,PM
2015-10-15,0.20051444212217606,13,AM
2015-10-15,0.1889571233516508,13,PM
2015-10-16,nan,0,AM
2015-10-16,nan,0,PM
2015-10-17,0.23044661271985717,13,AM
2015-10-17,0.27401574452996064,13,PM
2015-10-18,0.23106683887828983,13,AM
2015-10-18,nan,0,PM
2015-10-19,nan,0,AM
2015-10-19,nan,0,PM
2015-10-20,0.21870220489237122,13,AM
2015-10-20,0.20749529355237387,13,PM
2015-10-21,nan,0,AM
2015-10-21,nan,0,PM
2015-10-22,nan,0,AM
2015-10-22,0.17855607976727336,13,PM
2015-10-23,0.20378673001164893,13,AM
2015-10-23,0.2461803021565055,13,PM
2015-10-24,nan,0,AM
2015-10-24,nan,0,PM
2015-10-25,0.2027915348770502,13,AM
2015-10-25,0.2455862729273899,13,PM
2015-10-26,0.21616074626730625,13,AM
2015-10-26,nan,0,PM
2015-10-27,nan,0,AM
2015-10-27,nan,0,PM
2015-10-28,0.32619843241317215,13,AM
2015-10-28,0.28347232866100447,13,PM
2015-10-29,nan,0,AM
2015-10-29,nan,0,PM
2015-10-30,nan,0,AM
2015-10-30,0.33340379347264865,13,PM
2015-10-31,0.26671388144925384,13,AM
2015-10-31,0.32635756411496397,13,PM
2015-11-01,nan,0,AM
2015-11-01,nan,0,PM
2015-11-02,0.30696159070873646,13,AM
2015-11-02,0.28027257129808486,13,PM
2015-11-03,0.23185183057404132,13,AM
2015-11-03,nan,0,PM
2015-11-04,nan,0,AM
2015-11-04,nan,0,PM
2015-11-05,0.25031077628303794,13,AM
2015-11-05,0.26486241082005757,13,PM
2015-11-06,nan,0,AM
2015-11-06,nan,0,PM
2015-11-07,nan,0,AM
2015-11-07,0.2946626035841605,13,PM
2015-11-08,0.2117405369269094,13,AM
2015-11-08,0.2658082938304346,13,PM
2015-11-09,nan,0,AM
2015-11-09,nan,0,PM
2015-11-10,0.23475429404445652,13,AM
2015-11-10,0.2431181735360696,13,PM
2015-11-11,0.1955114233432099,13,AM
2015-11-11,nan,0,PM
2015-11-12,nan,0,AM
2015-11-12,nan,0,PM
2015-11-13,0.19538018054046907,13,AM
2015-11-13,0.20080062731575157,13,PM
2015-11-14,nan,0,AM
2015-11-14,nan,0,PM
2015-11-15,nan,0,AM
2015-11-15,0.26460621024418896,13,PM
2015-11-16,0.20015649061814733,13,AM
2015-11-16,0.24241614722395055,13,PM
2015-11-17,nan,0,AM
2015-11-17,nan,0,PM
2015-11-18,0.1778292847233374,13,AM
2015-11-18,0.20684751102760243,13,PM
2015-11-19,0.2013052172696184,13,AM
2015-11-19,nan,0,PM
2015-11-20,nan,0,AM
2015-11-20,nan,0,PM
2015-11-21,0.34720981568014686,13,AM
2015-11-21,0.22333150091005158,13,PM
2015-11-22,nan,0,AM
2015-11-22,nan,0,PM
2015-11-23,nan,0,AM
2015-11-23,0.18929332930129025,9,PM
2015-11-24,0.2962099099099203,13,AM
2015-11-24,0.19187367510281936,13,PM
2015-11-25,nan,0,AM
2015-11-25,nan,0,PM
2015-11-26,0.2662475226441911,4,AM
2015-11-26,0.2356479239094322,4,PM
2015-11-27,0.276962858604431,13,AM
2015-11-27,nan,0,PM
2015-11-28,nan,0,AM
2015-11-28,nan,0,PM
2015-11-29,0.23068646513338392,13,AM
2015-11-29,0.2954443657971923,13,PM
2015-11-30,nan,0,AM
2015-11-30,nan,0,PM
2015-12-01,nan,0,AM
2015-12-01,0.28922079098278014,13,PM
2015-12-02,0.3265022701835526,13,AM
2015-12-02,0.303256592431346,13,PM
2015-12-03,nan,0,AM
2015-12-03,nan,0,PM
2015-12-04,0.2597770780475032,13,AM
2015-12-04,0.302181101805949,13,PM
2015-12-05,0.26523115859894897,13,AM
2015-12-05,nan,0,PM
2015-12-06,nan,0,AM
2015-12-06,nan,0,PM
2015-12-07,0.2670739740133286,13,AM
2015-12-07,0.29964070585798686,13,PM
2015-12-08,nan,0,AM
2015-12-08,nan,0,PM
2015-12-09,nan,0,AM
2015-12-09,0.29299995213513547,13,PM
2015-12-10,0.2899677431409961,13,AM
2015-12-10,0.26844013233840563,13,PM
2015-12-11,nan,0,AM
2015-12-11,nan,0,PM
2015-12-12,0.23957640780672793,13,AM
2015-12-12,0.2892952978060642,13,PM
2015-12-13,0.27519862506398957,13,AM
2015-12-13,nan,0,PM
2015-12-14,nan,0,AM
2015-12-14,nan,0,PM
2015-12-15,nan,0,AM
2015-12-15,nan,0,PM
2015-12-16,nan,0,AM
2015-12-16,nan,0,PM
2015-12-17,nan,0,AM
2015-12-17,nan,0,PM
2015-12-18,0.2520343051211222,13,AM
2015-12-18,0.2699060918618396,13,PM
2015-12-19,nan,0,AM
2015-12-19,nan,0,PM
2015-12-20,0.2619874510324129,13,AM
2015-12-20,0.28710860429226387,13,PM
2015-12-21,0.2438692733995663,13,AM
2015-12-21,nan,0,PM
2015-12-22,nan,0,AM
2015-12-22,nan,0,PM
2015-12-23,0.26054293210771945,13,AM
2015-12-23,0.2709316451729979,13,PM
2015-12-24,nan,0,AM
2015-12-24,nan,0,PM
2015-12-25,nan,0,AM
2015-12-25,0.306880445155473,13,PM
2015-12-26,0.3078655414095657,13,AM
2015-12-26,0.29203400161340376,13,PM
2015-12-27,nan,0,AM
2015-12-27,nan,0,PM
2015-12-28,0.264333729374222,13,AM
2015-12-28,0.26861525971544614,13,PM
2015-12-29,0.2389110389807135,13,AM
2015-12-29,nan,0,PM
2015-12-30,nan,0,AM
2015-12-30,nan,0,PM
2015-12-31,0.2586041165252071,13,AM
2015-12-31,0.27741047888410514,13,PM
2016-01-01,nan,0,AM
2016-01-01,nan,0,PM
2016-01-02,nan,0,AM
2016-01-02,0.2627128491862966,13,PM
2016-01-03,0.2808514117285668,13,AM
2016-01-03,0.2525739331792772,13,PM
2016-01-04,nan,0,AM
2016-01-04,nan,0,PM
2016-01-05,0.2846053569391579,13,AM
2016-01-05,0.2753438423166211,13,PM
2016-01-06,0.27976314602581304,13,AM
2016-01-06,nan,0,PM
2016-01-07,nan,0,AM
2016-01-07,nan,0,PM
2016-01-08,0.25876869000265174,13,AM
2016-01-08,0.30787950776679995,13,PM
2016-01-09,nan,0,AM
2016-01-09,nan,0,PM
2016-01-10,nan,0,AM
2016-01-10,0.3078797005563057,13,PM
2016-01-11,0.30603176844840485,13,AM
2016-01-11,0.3547729632843788,13,PM
2016-01-12,nan,0,AM
2016-01-12,nan,0,PM
2016-01-13,0.31083187748582664,13,AM
2016-01-13,0.2912382247248508,13,PM
2016-01-14,0.24739373333139264,13,AM
2016-01-14,nan,0,PM
2016-01-15,nan,0,AM
2016-01-15,nan,0,PM
2016-01-16,0.225313928330585,13,AM
