date,precipitation_mm
2010-07-12,14.637894090517838
2010-07-13,0.6577122543860983
2010-07-14,4.313312499456053
2010-07-15,0.11185462745409748
2010-07-16,0
2010-07-17,2.366181334911959
2010-07-18,0
2010-07-19,0
2010-07-20,0
2010-07-21,9.38473172364461
2010-07-22,25.21489646910941
2010-07-23,1.5306174578280929
2010-07-24,0
2010-07-25,0.012019725363880499
2010-07-26,0.04795025604717933
2010-07-27,0.38322469106864177
2010-07-28,0.6063550477855444
2010-07-29,0.5023005913286493
2010-07-30,0
2010-07-31,0
2010-08-01,12.526910309073967
2010-08-02,12.141978707373793
2010-08-03,0.00025943396085838103
2010-08-04,1.1053044369390737
2010-08-05,0.23051243219053374
2010-08-06,0
2010-08-07,0
2010-08-08,0
2010-08-09,0
2010-08-10,0.02036020520868461
